symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
AAETX,American Funds 2030 Trgt Date Retire A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
AAERX,American Beacon International Eq R6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
AAENX,Cavanal Hill Strategic Enhanced Yield A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
AAEMX,Alger Emerging Markets A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
AAESX,Invesco Growth Allocation R6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
AAEEF,Altair Resources Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
FH56.MUN,JPM-EUGVB JPMEUGVB AAEO,ETF,Munich,08:00,20:00,UTC+01,EUR,0.6667
AAEV.LON,Albion Enterprise VCT Plc,Equity,United Kingdom,08:00,16:30,UTC+00,GBP,0.2308
JYJA.DUS,JPM-EU.ST.GW.JPMESG AAEO,ETF,Dusseldorf,08:30,20:00,UTC+01,EUR,0.2222
JP5I.MUN,JPM-EM.MK.DB.JPMEMD AAEOH,ETF,Munich,08:00,20:00,UTC+01,EUR,0.2143
