symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
BBY,Best Buy Co. Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
3978.HKG,China Beststudy Education Group,Equity,Hong Kong,09:30,16:00,UTC+08,HKD,0.7500
BSTI,BEST Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
BSPK,Bespoke Extracts Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
VETS,Pacer Military Times Best Employers ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.5714
BESE,Beeston Enterprises Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
HLTY,Nature's Best Brands Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
BSRAF,Besra Gold Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
BESIX,William Blair Emerg Mkts Sm Cp Gr I,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.2069
BESIY,BE Semiconductor Industries N.V.,Equity,United States,09:30,16:00,UTC-05,USD,0.1765
