symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
2379.TOK,DIP Corporation,Equity,Tokyo,09:00,15:00,UTC+09,JPY,0.7500
DPLO,Diplomat Pharmacy Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
DIPSX,DFA Inflation-Protected Securities I,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
DIPGY,Datang International Power Generation Co. Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
DIPAAX,ADT 1738 Cohen & Steers Dynamic,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
DIPAFX,ADT 1852 Cohen & Steers Dynamic,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
DIPAGX,ADT 1866 Cohen & Steers Dynamic,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
DIPACX,ADT 1792 Cohen & Steers Dynamic,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
DIPADX,ADT 1810 Cohen & Steers Dynamic,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
DIPAEX,ADT 1829 Cohen & Steers Dynamic,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.3333
