symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
EME,EMCOR Group Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
EEM,iShares MSCI Emerging Markets ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.8571
EMES,Emerge Energy Services LP,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
EMR,Emerson Electric Co.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
VWO,Vanguard FTSE Emerging Markets ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.5714
EMHTF,Emerald Health Therapeutics Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
IEMG,iShares Core MSCI Emerging Markets ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.5000
MSF,Morgan Stanley Emerging Markets Fund Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
VEMAX,Vanguard Emerging Mkts Stock Index Admiral,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.3333
EBS,Emergent BioSolutions Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.1622
