symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
ETM,Entercom Communications Corp.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
ETMDX,Eaton Vance MD Municipal Income A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ETMLF,ETFS Metal Securities Limited - ETFS Physical Silver,ETF,United States,09:30,16:00,UTC-05,USD,0.7500
ETMNX,Eaton Vance MN Municipal Income A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ETMOX,Eaton Vance MO Municipal Income A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ETMBX,Eaton Vance AMT-Free Municipal Income A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ETMAX,Eaton Vance MA Municipal Income A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ETMGX,Eaton Vance Tx-Mgd Small-Cap A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ETMSF,ETFS METAL SECURIT,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
ETMC.TRV,E3 Metals Corp.,Equity,Toronto Venture,09:30,16:00,UTC-05,CAD,0.6667
