symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
EXAS,Exact Sciences Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
EXDI,Exactus Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7273
EXRTF,exactEarth Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
XCT.TRT,exactEarth Ltd.,Equity,Toronto,09:30,16:00,UTC-05,CAD,0.4444
EXAC.PAR,Exacompta Clairefontaine S.A.,Equity,Paris,09:00,17:30,UTC+01,EUR,0.4444
EXK.STG,EXACT SCIENCES CORP. Registered,Equity,Stuttgart,08:00,20:00,UTC+01,EUR,0.4211
0C5.FRK,exactEarth Ltd.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.4211
EXK.FRK,Exact Sciences Corporation,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.4000
EXK.MUN,"EXACT SCIEN.  DL-,01",Equity,Munich,08:00,20:00,UTC+01,EUR,0.4000
16252.AUS,Perpetual Exact Market Cash Fund,Mutual Fund,Australia,10:00,16:00,UTC+11,AUD,0.2222
