symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
FIGFX,Fidelity International Growth,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGRX,Fidelity International Discovery,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
BOTY,Lingerie Fighting Championships Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
FIGVX,First Investors Government A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGTX,Federated US Govt 2-5 Yr Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGYX,First Investors Government B,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGCX,Fidelity Advisor International Growth C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGIX,Federated US Govt 2-5 Yr Svc,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGAX,Nuveen Intermediate Government Bond A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FIGBX,First Investors Select Growth B,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.1500
