symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
FMC,FMC Corporation,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
FMCC,Freddie Mac,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
FMCSX,Fidelity Mid-Cap Stock,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.8571
FMCKJ,Freddie Mac,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
FMCB,Farmers & Merchants Bancorp,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
FMCDX,Fidelity Advisor Stock Selec Mid Cp A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FMCRX,Federated Mid-Cap Index Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FMCCL,Freddie Mac,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
FMCKO,Freddie Mac,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
FMCI,Forum Merger II Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
