symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
FSLR,First Solar Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
FSDDF,FSD Pharma Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
FSMEX,Fidelity Select Medical Tech and Devcs,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
FSHCX,Fidelity Select Health Care Svcs Port,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
FSIC,FS Investment Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
FSCT,ForeScout Technologies Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
FSM,Fortuna Silver Mines Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
FSNN,Fusion Connect Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
FSRPX,Fidelity Select Retailing,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
FSELX,Fidelity Select Semiconductors,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
