symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
FSP,Franklin Street Properties Corp.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
FSPHX,Fidelity Select Health Care,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.8571
FSPTX,Fidelity Select Technology,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FSPCX,Fidelity Select Insurance Port,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FSPGX,Fidelity Large Cap Growth Idx,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FSPSX,Fidelity International Index,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FSPM,FusionPharm Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
FSPNX,Fidelity International Index Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FSPDX,FA 529 SMALL CAP PORT-CL D,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FSPARX,FT 6622: Municipal Advantage Cl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
