symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
G,Genpact Limited,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
GE,General Electric Company,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
GH,Guardant Health Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
GRTS,Gritstone Oncology Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
GMDA,Gamida Cell Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
GLACU,Greenland Acquisition Corporation Units,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
GRAFU,GRAF INDUSTRIAL CORP.,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
GOOG,Alphabet Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
GS,The Goldman Sachs Group Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
GOOS,Canada Goose Holdings Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
