symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
GF,The New Germany Fund Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
GFF,Griffon Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
GFI,Gold Fields Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
GFA,Gafisa S.A.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
GFN,General Finance Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
GFFFX,American Funds Growth Fund of Amer F2,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
GFAFX,American Funds Growth Fund of Amer F1,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
GFACX,American Funds Growth Fund of Amer C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
GFED,Guaranty Federal Bancshares Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
GFNCP,General Finance Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
