symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
SIG,Signet Jewelers Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
KGJI,Kingold Jewelry Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
JCTCF,Jewett-Cameron Trading Company Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.3750
FJHL,Fovea Jewelry Holdings Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
CJEWF,Chow Tai Fook Jewellery Group Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
CEBTF,Citychamp Watch & Jewellery Group Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2500
CJEWY,Chow Tai Fook Jewellery Group Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2500
EPRJF,Emperor Watch & Jewellery Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2500
PCJEWELLER.NSE,PC Jeweller Limited,Equity,India/NSE,09:15,15:30,UTC+5.5,INR,0.2308
1929.HKG,Chow Tai Fook Jewellery Group Limited,Equity,Hong Kong,09:30,16:00,UTC+08,HKD,0.1500
