symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
006260.KOR,LS Corp.,Equity,Korea,09:00,15:30,UTC+09,KRW,0.8000
LSXMA,The Liberty SiriusXM Group,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
LKSD,LSC Communications Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
LSCC,Lattice Semiconductor Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
LXU,LSB Industries Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
LSXMK,The Liberty SiriusXM Group,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
LSI,Life Storage Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
LYTS,LSI Industries Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
LSTR,Landstar System Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
LSYN,Liberated Syndication Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
