symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
TSLA,Tesla Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
F,Ford Motor Company,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
GM,General Motors Company,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
TM,Toyota Motor Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
MSI,Motorola Solutions Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
HMC,Honda Motor Co. Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
TTM,Tata Motors Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
GTX,Garrett Motion Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
SIMO,Silicon Motion Technology Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
LKM,Link Motion Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
