symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
NRG,NRG Energy Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
NRGMF,NRG Metals Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
NRGSX,Neuberger Berman Genesis R6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
NRGOF,NewRange Gold Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
NRGSP,The Narragansett Electric Company PFD 4.50%,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
NRGDX,Integrity Energized Dividend A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
NRGXQ,Neurologix Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
NRGUX,Integrity Energized Dividend C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
FNRC,1st NRG Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
NGZ.TRV,NRG Metals Inc.,Equity,Toronto Venture,09:30,16:00,UTC-05,CAD,0.5000
