symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
NUGT,Direxion Daily Gold Miners Bull 3X ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.8000
NTNX,Nutanix Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
NTR,Nutrien Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
NUE,Nucor Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
NUAN,Nuance Communications Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
NS,NuStar Energy L.P.,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
NCNA,NuCana plc,Equity,United States,09:30,16:00,UTC-05,USD,0.4000
NVG,Nuveen AMT-Free Municipal Credit Income Fund,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
NUS,Nu Skin Enterprises Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
NTRI,Nutrisystem Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
