symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
PHO,Invesco Water Resources ETF,ETF,United States,09:30,16:00,UTC-05,USD,1.0000
IPGP,IPG Photonics Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
PHOT,GrowLife Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
PLAB,Photronics Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3158
FENG,Phoenix New Media Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
PLSI,Phoenix Life Sciences International Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
ZMSPF,Zecotek Photonics Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
DRRSF,Arianne Phosphate Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2500
POCEF,Photon Control Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2400
PXFG,Phoenix Footwear Group Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2143
