symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
PII,Polaris Industries Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
PIINX,PIMCO Income Admiral,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIVX,Sharespost 100 Fund - Class I,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIMX,Principal Intl Emerging Markets R-6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIOX,Principal International Equity Index R3,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIIX,Principal Diversified Intl Inst,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIDX,Principal International I R-6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIICX,PACE Intermediate Fixed Income C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIPX,Principal International Equity Index R4,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PIIRX,Putnam International Value R,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
