symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
PLL,Piedmont Lithium Limited,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
PLLL,Piedmont Lithium Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
PLLAX,Principal SmallCap A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
PLLVF,Palladon Ventures Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
PLLHF,Gemfields Group Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
PLL.BER,"PRUDENTIAL FINL  DL-,01",Equity,Berlin,08:00,20:00,UTC+01,EUR,0.7500
PLL.AUS,Piedmont Lithium Limited,Equity,Australia,10:00,16:00,UTC+11,AUD,0.6667
PLL.FRK,Prudential Financial Inc.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.6667
PLL.MUN,"PRUDENTIAL FINL  DL-,01",Equity,Munich,08:00,20:00,UTC+01,EUR,0.6667
PLL.STG,PRUDENTIAL FINANCIAL INC. Regis,Equity,Stuttgart,08:00,20:00,UTC+01,EUR,0.6667
