symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
METC,Ramaco Resources Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8889
RAMAX,American Funds ST Bd Fd of Amer R1,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
RALS.JKT,PT Ramayana Lestari Sentosa Tbk,Equity,Jakarta,09:00,16:00,UTC+07,IDR,0.5000
RAMASTEEL.NSE,Rama Steel Tubes Limited,Equity,India/NSE,09:15,15:30,UTC+5.5,INR,0.5000
OAIA.FRK,PT Ramayana Lestari Sentosa Tbk,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.4706
RAMAVISION.BSE,Rama Vision Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.4000
ASRM.JKT,PT Asuransi Ramayana Tbk,Equity,Jakarta,09:00,16:00,UTC+07,IDR,0.3636
RAMAPHO.BSE,Rama Phosphates Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.3636
SHREERAMA.BSE,Shree Rama Multi-Tech Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.3077
5R0.FRK,Ramaco Resources Inc.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.3077
