symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
RUC.HAM,RIM AG  O.N.,Equity,Hamburg,08:00,20:00,UTC+01,EUR,0.7500
RMNI,Rimini Street Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
PCRCF,Pacific Rim Cobalt Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
RMRK,Rimrock Gold Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
RMNIW,Rimini Street Inc. WT EXP 052622,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
RIMOX,City National Rochdale Fxd Inc Opps N,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
RMNIU,Rimini Street Inc. UNIT EX 052620,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
RIMHX,City National Rochdale Dividend & Inc N,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RIMIX,Fiera Capital Emerging Markets Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
RIMCX,City National Rochdale Interm Fxd Inc N,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.2500
