symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
RMTI,Rockwell Medical Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
COL,Rockwell Collins Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
RMHB,Rocky Mountain High Brands Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
ROK,Rockwell Automation Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
RHHBY,Roche Holding AG,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
RCKY,Rocky Brands Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
AJRD,Aerojet Rocketdyne Holdings Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3158
RCKT,Rocket Pharmaceuticals Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
RRR,Red Rock Resorts Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
RMCF,Rocky Mountain Chocolate Factory Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
