symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
R,Ryder System Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
RYLIX,Rydex Leisure Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYVYX,Rydex NASDAQ-100 2x Strategy H,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYPMX,Rydex Precious Metals Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYDAF,Royal Dutch Shell plc,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
RYOIX,Rydex Biotechnology Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYVLX,Rydex NASDAQ-100 2x Strategy A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYJUX,Rydex Inverse Government Lg Bd Strat Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYHIX,Rydex Health Care Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
RYURX,Rydex Inverse S&P 500 Strategy Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
