symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
SGA,Saga Communications Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
SGAPY,Singapore Telecommunications Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
SGAMY,Sega Sammy Holdings Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
SGAPX,American Beacon SGA Global Growth Inv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
SGAGX,American Beacon SGA Global Growth Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
SGLCX,SGA International Equity Institutional,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
SGAAX,American Beacon SGA Global Growth A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
SGACX,American Beacon SGA Global Growth C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
SGAMF,Sega Sammy Holdings Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
SGATX,Virtus Seix Georgia Tax-Exempt Bond I,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
