symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
005850.KOR,SL Corporation,Equity,Korea,09:00,15:30,UTC+09,KRW,0.8000
SLB,Schlumberger Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
SLV,iShares Silver Trust,ETF,United States,09:30,16:00,UTC-05,USD,0.8000
SLS,SELLAS Life Sciences Group Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
SLCA,U.S. Silica Holdings Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
SLP,Simulations Plus Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
SLDB,Solid Biosciences Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
SNBR,Sleep Number Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
SLNO,Soleno Therapeutics Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
SLG,SL Green Realty Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.2500
