symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
TRIRX,TIAA-CREF Large-Cap Gr Index Retire,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
QREARX,TIAA Real Estate Account,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TILIX,TIAA-CREF Large-Cap Gr Index Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TIEIX,TIAA-CREF Equity Index Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TIYRX,TIAA-CREF High-Yield Retail,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TISBX,TIAA-CREF Small-Cap Blend Index Inst,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TISPX,TIAA-CREF S&P 500 Index Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TIIRX,TIAA-CREF Growth & Income Retail,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TIREX,TIAA-CREF Real Estate Sec Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.4444
TIHRX,TIAA-CREF High-Yield R,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.2857
