symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
TDACU,Trident Acquisitions Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
TDNT,Trident Brands Incorporated,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
TDAC,Trident Acquisitions Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
TDPM.JKT,PT Tridomain Performance Materials Tbk,Equity,Jakarta,09:00,16:00,UTC+07,IDR,0.5000
TRIDENT.NSE,Trident Limited,Equity,India/NSE,09:15,15:30,UTC+5.5,INR,0.4444
ASHUTPM.BSE,Tridev Infraestates Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.4444
TRIDENT.BSE,Trident Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.3636
TRR.LON,Trident Resources Plc,Equity,United Kingdom,08:00,16:30,UTC+00,GBP,0.3200
TTFL.BSE,Trident Texofab Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.2963
526626.BSE,TRIDENT PROJECTS LTD.,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.2581
