symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
VO,Vanguard Mid-Cap ETF,ETF,United States,09:30,16:00,UTC-05,USD,1.0000
VOD,Vodafone Group Plc,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
VOO,Vanguard S&P 500 ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.8000
VG,Vonage Holdings Corp.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
VYGR,Voyager Therapeutics Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8000
VJET,voxeljet AG,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
VNO,Vornado Realty Trust,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
VWAGY,Volkswagen AG,Equity,United States,09:30,16:00,UTC-05,USD,0.3333
VOX,Vanguard Communication Services ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.3333
VOYA,Voya Financial Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
