symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
VRCA,Verrica Pharmaceuticals Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
VRCP,Virtual Crypto Technologies Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
VRCAX,Invesco Balanced-Risk Retire 2020 AX,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.8571
VRCOX,Virtus Newfleet Credit Opportunities R6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.8571
VRCFF,Victory Resources Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
VRCI,Verde Science Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
VRCFX,Invesco Balanced-Risk Retire 2020 R6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
VRCCX,Invesco Balanced-Risk Retire 2020 CX,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
VRCRX,Invesco Balanced-Risk Retire 2020 RX,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
VRCM,VersaCOM International Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
