symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
EFS3.MUN,EFF.-SPIEGEL VZO,Equity,Munich,08:00,20:00,UTC+01,EUR,0.3158
DRW3.MUN,DRAEGERWERK VZO O.N.,Equity,Munich,08:00,20:00,UTC+01,EUR,0.2609
BMW3.BER,BAY.MOTOREN WERKE  VZO,Equity,Berlin,08:00,20:00,UTC+01,EUR,0.2400
BMW3.DUS,BAY.MOTOREN WERKE  VZO,Equity,Dusseldorf,08:30,20:00,UTC+01,EUR,0.2400
BMW3.HAN,BAY.MOTOREN WERKE  VZO,Equity,Hanover,08:00,20:00,UTC+01,EUR,0.2400
BMW3.MUN,BAY.MOTOREN WERKE  VZO,Equity,Munich,08:00,20:00,UTC+01,EUR,0.2400
EIN3.BER,EINHELL GERMANY VZO O.N.,Equity,Berlin,08:00,20:00,UTC+01,EUR,0.2222
EIN3.HAM,EINHELL GERMANY VZO O.N.,Equity,Hamburg,08:00,20:00,UTC+01,EUR,0.2222
EIN3.MUN,EINHELL GERMANY VZO O.N.,Equity,Munich,08:00,20:00,UTC+01,EUR,0.2222
FPE3.BER,FUCHS PETROL.SE VZO O.N.,Equity,Berlin,08:00,20:00,UTC+01,EUR,0.2222
