symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
WTW,Weight Watchers International Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8889
CHCLY,Citizen Watch Co. Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.5714
CEBTF,Citychamp Watch & Jewellery Group Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2963
EPRJF,Emperor Watch & Jewellery Limited,Equity,United States,09:30,16:00,UTC-05,USD,0.2963
WATCX,Western Asset Intermediate Bond C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.2963
0887.HKG,Emperor Watch & Jewellery Limited,Equity,Hong Kong,09:30,16:00,UTC+08,HKD,0.2286
7762.TOK,Citizen Watch Co. Ltd.,Equity,Tokyo,09:00,15:00,UTC+09,JPY,0.2222
CTZ.FRK,Citizen Watch Co. Ltd.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.2162
0398.HKG,Oriental Watch Holdings Limited,Equity,Hong Kong,09:30,16:00,UTC+08,HKD,0.2162
0256.HKG,Citychamp Watch & Jewellery Group Limited,Equity,Hong Kong,09:30,16:00,UTC+08,HKD,0.1778
