symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
ZF,Virtus Total Return Fund Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
ZFGN,Zafgen Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.6667
ZFREIX,FS Credit Real Estate Income Tr,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
ZFREMX,FS Credit Real Estate Income Tr,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
ZFLIX,Ziegler Floating Rate Institutional,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5714
ZFREDX,FS Credit Real Estate Income Tr,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
ZFLCX,Ziegler Floating Rate C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
ZFRTCX,FS Credit Real Estate Income Tr,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
ZFSVF,Zurich Insurance Group AG,Equity,United States,09:30,16:00,UTC-05,USD,0.5000
ZFRETX,FS Credit Real Estate Income Tr,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5000
